"","Date","Region","Thermal.Generation.Actual..in.MU.","Hydro.Generation.Actual..in.MU."
"118",2017-09-24,"Southern",587.32,111.57
"119",2017-09-24,"Eastern",486.07,85.94
"120",2017-09-24,"NorthEastern",29.11,24.64
"121",2017-09-25,"Northern",624.13,273.27
"122",2017-09-25,"Western",1140.12,72
"123",2017-09-25,"Southern",591.15,111.57
"124",2017-09-25,"Eastern",486.07,85.94
"125",2017-09-25,"NorthEastern",29.11,24.64
"126",2017-09-26,"Northern",626.73,273.27
"127",2017-09-26,"Western",1140.12,72
"128",2017-09-26,"Southern",591.15,111.57
"129",2017-09-26,"Eastern",486.07,85.94
"130",2017-09-26,"NorthEastern",29.11,24.64
"131",2017-09-27,"Northern",626.73,273.27
"132",2017-09-27,"Western",1140.12,72
"133",2017-09-27,"Southern",591.15,111.57
"134",2017-09-27,"Eastern",486.07,85.94
"135",2017-09-27,"NorthEastern",29.11,24.64
"136",2017-09-28,"Northern",630.62,273.27
"137",2017-09-28,"Western",1140.12,72
"138",2017-09-28,"Southern",591.15,111.57
"139",2017-09-28,"Eastern",486.07,85.94
"140",2017-09-28,"NorthEastern",29.11,24.64
"141",2017-09-29,"Northern",630.62,273.27
"142",2017-09-29,"Western",1140.12,72
"143",2017-09-29,"Southern",601.66,111.57
"144",2017-09-29,"Eastern",486.07,85.94
"145",2017-09-29,"NorthEastern",29.11,24.64
"146",2017-09-30,"Northern",630.62,273.27
"147",2017-09-30,"Western",1140.12,72
"148",2017-09-30,"Southern",601.66,111.57
"149",2017-09-30,"Eastern",486.07,85.94
"150",2017-09-30,"NorthEastern",29.11,24.64
"151",2017-10-01,"Northern",621.75,157.46
"152",2017-10-01,"Western",1155.3,57.11
"153",2017-10-01,"Southern",575.7,92.06
"154",2017-10-01,"Eastern",479.5,63.36
"155",2017-10-01,"NorthEastern",29.16,17.17
"156",2017-10-03,"Northern",621.75,157.46
"157",2017-10-03,"Western",1155.3,57.11
"158",2017-10-03,"Southern",575.7,92.06
"159",2017-10-03,"Eastern",479.5,63.36
"160",2017-10-03,"NorthEastern",29.16,17.17
"161",2017-10-04,"Northern",621.75,157.46
"162",2017-10-04,"Western",1155.3,57.11
"163",2017-10-04,"Southern",575.7,92.06
"164",2017-10-04,"Eastern",479.5,63.36
"165",2017-10-04,"NorthEastern",29.16,17.17
"166",2017-10-05,"Northern",621.75,157.46
"167",2017-10-05,"Western",1150.82,57.11
"168",2017-10-05,"Southern",575.7,92.06
"169",2017-10-05,"Eastern",479.5,63.36
"170",2017-10-05,"NorthEastern",29.16,17.17
"171",2017-10-06,"Northern",621.75,157.46
"172",2017-10-06,"Western",1150.82,57.11
"173",2017-10-06,"Southern",581.31,92.06
"174",2017-10-06,"Eastern",479.5,63.36
"175",2017-10-06,"NorthEastern",29.16,17.17
"176",2017-10-07,"Northern",621.75,157.46
"177",2017-10-07,"Western",1150.82,57.11
"178",2017-10-07,"Southern",581.31,92.06
"179",2017-10-07,"Eastern",479.5,63.36
"180",2017-10-07,"NorthEastern",29.16,17.17
"181",2017-10-08,"Northern",621.75,157.46
"182",2017-10-08,"Western",1150.82,57.11
"183",2017-10-08,"Southern",590.19,92.06
"184",2017-10-08,"Eastern",479.5,63.36
"185",2017-10-08,"NorthEastern",29.16,17.17
"186",2017-10-09,"Northern",621.75,157.46
"187",2017-10-09,"Western",1155.3,57.11
"188",2017-10-09,"Southern",590.19,92.06
"189",2017-10-09,"Eastern",479.5,63.36
"190",2017-10-09,"NorthEastern",29.16,17.17
"191",2017-10-10,"Northern",621.75,157.46
"192",2017-10-10,"Western",1155.3,57.11
"193",2017-10-10,"Southern",590.19,92.06
"194",2017-10-10,"Eastern",479.5,63.36
"195",2017-10-10,"NorthEastern",29.16,17.17
"196",2017-10-11,"Northern",621.75,157.46
"197",2017-10-11,"Western",1155.3,57.11
"198",2017-10-11,"Southern",598.81,92.06
"199",2017-10-11,"Eastern",486.88,63.36
"200",2017-10-11,"NorthEastern",29.16,17.17
"201",2017-10-12,"Northern",621.75,157.46
"202",2017-10-12,"Western",1155.3,57.11
"203",2017-10-12,"Southern",598.81,92.06
"204",2017-10-12,"Eastern",486.88,63.36
"205",2017-10-12,"NorthEastern",29.16,17.17
"206",2017-10-13,"Northern",621.75,157.46
"207",2017-10-13,"Western",1155.3,57.11
"208",2017-10-13,"Southern",598.81,92.06
"209",2017-10-13,"Eastern",486.88,63.36
"210",2017-10-13,"NorthEastern",29.16,17.17
"211",2017-10-14,"Northern",618.71,157.46
"212",2017-10-14,"Western",1155.3,57.11
"213",2017-10-14,"Southern",598.81,92.06
"214",2017-10-14,"Eastern",486.88,63.36
"215",2017-10-14,"NorthEastern",29.16,17.17
"216",2017-10-15,"Northern",633.77,157.46
"217",2017-10-15,"Western",1155.3,57.11
"218",2017-10-15,"Southern",594.31,92.06
"219",2017-10-15,"Eastern",486.88,63.36
"220",2017-10-15,"NorthEastern",29.16,17.17
"221",2017-10-16,"Northern",626.17,157.46
"222",2017-10-16,"Western",1155.3,57.11
"223",2017-10-16,"Southern",602.87,92.06
"224",2017-10-16,"Eastern",486.88,63.36
"225",2017-10-16,"NorthEastern",29.16,17.17
"226",2017-10-17,"Northern",629.21,157.46
"227",2017-10-17,"Western",1155.3,57.11
"228",2017-10-17,"Southern",602.87,92.06
"229",2017-10-17,"Eastern",486.88,63.36
"230",2017-10-17,"NorthEastern",29.16,17.17
"231",2017-10-18,"Northern",629.21,157.46
"232",2017-10-18,"Western",1155.3,57.11
"233",2017-10-18,"Southern",589.87,92.06
"234",2017-10-18,"Eastern",486.88,63.36
"235",2017-10-18,"NorthEastern",29.16,17.17
"236",2017-10-19,"Northern",639.52,157.46
"237",2017-10-19,"Western",1153.02,57.11
"238",2017-10-19,"Southern",594.32,92.06
"239",2017-10-19,"Eastern",486.88,63.36
"240",2017-10-19,"NorthEastern",29.16,17.17
"241",2017-10-20,"Northern",628.36,157.46
"242",2017-10-20,"Western",1128.44,57.11
"243",2017-10-20,"Southern",594.32,92.06
"244",2017-10-20,"Eastern",484.8,63.36
"245",2017-10-20,"NorthEastern",29.16,17.17
"246",2017-10-21,"Northern",628.36,157.46
"247",2017-10-21,"Western",1128.44,57.11
"248",2017-10-21,"Southern",594.32,92.06
"249",2017-10-21,"Eastern",473.75,63.36
"250",2017-10-21,"NorthEastern",29.16,17.17
"251",2017-10-22,"Northern",628.36,157.46
"252",2017-10-22,"Western",1128.44,57.11
"253",2017-10-22,"Southern",594.32,92.06
"254",2017-10-22,"Eastern",469.18,63.36
"255",2017-10-22,"NorthEastern",29.16,17.17
"256",2017-10-23,"Northern",628.36,157.46
"257",2017-10-23,"Western",1128.44,57.11
"258",2017-10-23,"Southern",603.99,92.06
"259",2017-10-23,"Eastern",467.82,63.36
"260",2017-10-23,"NorthEastern",29.16,17.17
"261",2017-10-24,"Northern",625.88,157.46
"262",2017-10-24,"Western",1128.44,57.11
"263",2017-10-24,"Southern",603.99,92.06
"264",2017-10-24,"Eastern",467.82,63.36
"265",2017-10-24,"NorthEastern",29.16,17.17
"266",2017-10-25,"Northern",625.88,157.46
"267",2017-10-25,"Western",1127.02,57.11
"268",2017-10-25,"Southern",615.28,92.06
"269",2017-10-25,"Eastern",467.82,63.36
"270",2017-10-25,"NorthEastern",29.16,17.17
"271",2017-10-26,"Northern",625.88,157.46
"272",2017-10-26,"Western",1127.02,57.11
"273",2017-10-26,"Southern",615.28,92.06
"274",2017-10-26,"Eastern",467.82,63.36
"275",2017-10-26,"NorthEastern",29.16,17.17
"276",2017-10-27,"Northern",625.88,157.46
"277",2017-10-27,"Western",1127.02,57.11
"278",2017-10-27,"Southern",615.28,92.06
"279",2017-10-27,"Eastern",469.9,63.36
"280",2017-10-27,"NorthEastern",29.16,17.17
"281",2017-10-28,"Northern",614.95,157.46
"282",2017-10-28,"Western",1127.02,57.11
"283",2017-10-28,"Southern",615.28,92.06
"284",2017-10-28,"Eastern",469.9,63.36
"285",2017-10-28,"NorthEastern",29.16,17.17
"286",2017-10-29,"Northern",614.95,157.46
"287",2017-10-29,"Western",1127.02,57.11
"288",2017-10-29,"Southern",615.28,92.06
"289",2017-10-29,"Eastern",469.9,63.36
"290",2017-10-29,"NorthEastern",29.16,17.17
"291",2017-10-30,"Northern",614.95,157.46
"292",2017-10-30,"Western",1127.02,57.11
"293",2017-10-30,"Southern",615.28,92.06
"294",2017-10-30,"Eastern",469.9,63.36
"295",2017-10-30,"NorthEastern",29.16,17.17
"296",2017-10-31,"Northern",614.95,157.46
"297",2017-10-31,"Western",1127.02,57.11
"298",2017-10-31,"Southern",622.28,92.06
"299",2017-10-31,"Eastern",469.9,63.36
"300",2017-10-31,"NorthEastern",29.16,17.17
"301",2017-11-01,"Northern",596.89,117.5
"302",2017-11-01,"Western",1100.43,45.87
"303",2017-11-01,"Southern",594.88,72.56
"304",2017-11-01,"Eastern",451.11,36.75
"305",2017-11-01,"NorthEastern",29.11,12.92
"306",2017-11-02,"Northern",596.89,117.5
"307",2017-11-02,"Western",1100.43,45.87
"308",2017-11-02,"Southern",594.88,72.56
"309",2017-11-02,"Eastern",451.11,36.75
"310",2017-11-02,"NorthEastern",29.11,12.92
"311",2017-11-03,"Northern",596.89,117.5
"312",2017-11-03,"Western",1101.82,45.87
"313",2017-11-03,"Southern",594.88,72.56
"314",2017-11-03,"Eastern",451.11,36.75
"315",2017-11-03,"NorthEastern",29.11,12.92
"316",2017-11-04,"Northern",596.89,117.5
"317",2017-11-04,"Western",1101.82,45.87
"318",2017-11-04,"Southern",594.88,72.56
"319",2017-11-04,"Eastern",451.11,36.75
"320",2017-11-04,"NorthEastern",29.11,12.92
"321",2017-11-05,"Northern",596.89,117.5
"322",2017-11-05,"Western",1099.82,45.87
"323",2017-11-05,"Southern",599.07,72.56
"324",2017-11-05,"Eastern",451.11,36.75
"325",2017-11-05,"NorthEastern",29.11,12.92
"326",2017-11-06,"Northern",596.89,117.5
"327",2017-11-06,"Western",1099.82,45.87
"328",2017-11-06,"Southern",599.07,72.56
